Траєкторія спуску (x1, x2):
Крок 0: (2.00000, 1.00000)
Крок 1: (1.50000, 1.50000)
Крок 2: (1.25000, 1.62500)
Крок 3: (1.21875, 1.50000)
Крок 4: (1.23438, 1.56250)
Крок 5: (1.25000, 1.50000)
Крок 6: (1.26562, 1.53125)
Крок 7: (1.28125, 1.54688)
Крок 8: (1.29688, 1.51562)
Крок 9: (1.34375, 1.46875)
Крок 10: (1.43750, 1.39062)
Крок 11: (1.42969, 1.40625)
Крок 12: (1.42188, 1.41406)
Крок 13: (1.41406, 1.41797)
Крок 14: (1.41016, 1.41992)
Крок 15: (1.40967, 1.41602)
Крок 16: (1.40991, 1.41797)
Крок 17: (1.41016, 1.41699)
Крок 18: (1.41089, 1.41553)
Крок 19: (1.41113, 1.41602)
Крок 20: (1.41187, 1.41602)
Крок 21: (1.41284, 1.41504)
Крок 22: (1.41504, 1.41357)
Крок 23: (1.41455, 1.41406)
Крок 24: (1.41431, 1.41431)
Крок 25: (1.41406, 1.41443)
Крок 26: (1.41403, 1.41431)
Крок 27: (1.41405, 1.41437)
Крок 28: (1.41406, 1.41431)
Крок 29: (1.41408, 1.41434)
Крок 30: (1.41409, 1.41428)
Крок 31: (1.41411, 1.41431)
Крок 32: (1.41412, 1.41428)
Крок 33: (1.41417, 1.41423)
Крок 34: (1.41418, 1.41425)
